Scan_Respiration_Data,Smoothed_Respiration_Data
109,109.6
110,109.333333333333
110,109.142857142857
109,108.875
110,108.555555555556
108,108.2
108,107.8
107,107.2
106,106.5
105,105.9
105,105.2
104,104.6
103,104
103,103.5
103,103
102,102.6
102,102.3
102,102.1
101,101.9
101,101.7
102,101.5
102,101.4
101,101.2
101,100.9
101,100.7
101,100.4
100,100
99,99.6
99,99.3
98,98.9
98,98.4
98,98
98,97.6
97,97.3
96,96.9
97,96.6
96,96.3
96,96
95,95.7
95,95.5
95,95.4
95,95.1
95,94.9
95,94.7
95,94.6
94,94.5
94,94.3
94,94.1
94,93.9
94,93.7
93,93.6
93,93.5
93,93.5
93,93.4
94,93.3
93,93.3
94,93.3
93,93.3
93,93.3
94,93.3
93,93.2
93,93.2
93,93.1
93,93
93,92.9
93,92.7
93,92.6
92,92.5
92,92.3
92,92.1
92,92
92,91.9
91,91.7
91,91.5
92,91.3
92,91.2
91,91.1
90,90.9
90,90.8
91,90.7
91,90.5
90,90.3
90,90.2
90,90.1
90,90
90,89.8
90,89.6
89,89.4
89,89.2
89,88.9
89,88.7
88,88.5
88,88.3
87,88.2
88,88.3
88,88.4
88,88.6
88,89
90,89.4
90,89.9
91,90.3
92,90.7
92,91
92,91.3
92,91.3
92,91.2
91,90.9
91,90.5
90,90
89,89.5
88,88.9
88,88.2
87,87.6
87,87
86,86.4
85,85.9
85,85.4
85,84.9
84,84.5
84,84.1
83,83.8
83,83.6
83,83.4
83,83.2
83,83.2
83,83.2
83,83.2
83,83.2
84,83.2
84,83.1
83,83
83,82.9
83,82.8
82,82.7
82,82.5
82,82.3
82,82.2
82,82.1
82,81.9
82,81.8
82,81.7
82,81.6
81,81.5
81,81.3
81,81.2
81,81.1
81,81.1
80,81.1
81,81.3
81,81.6
82,81.9
82,82.2
83,82.5
84,82.9
84,83.2
84,83.5
84,83.7
84,83.9
84,84
84,84
84,84.1
84,84.2
84,84.3
84,84.4
85,84.6
85,84.7
85,84.8
85,84.8
86,84.7
85,84.6
85,84.4
84,84.2
83,84
83,83.8
83,83.5
83,83.4
83,83.4
83,83.5
83,83.7
84,83.9
85,84.1
85,84.3
85,84.5
85,84.7
85,84.8
85,84.9
85,84.9
85,85
84,85.1
85,85.2
85,85.3
86,85.4
86,85.6
86,85.8
86,86.1
86,86.3
87,86.6
87,86.9
87,87.3
87,87.7
88,88.2
89,88.7
90,89.2
90,89.8
91,90.4
91,91
92,91.6
93,92.3
93,92.9
93,93.6
94,94.3
96,95.1
96,95.9
97,96.6
98,97.3
99,98.1
100,98.9
100,99.6
100,100.3
101,101
102,101.7
103,102.4
103,103
104,103.6
105,104.3
106,104.9
106,105.5
106,105.9
107,106.3
107,106.6
108,106.9
107,107.1
107,107.3
107,107.5
108,107.6
108,107.8
108,108
108,108.3
108,108.6
109,108.9
110,109.2
110,109.6
110,110.1
110,110.6
111,111.1
112,111.5
113,112
113,112.5
113,113
113,113.5
115,114
115,114.5
115,114.9
115,115.3
116,115.7
117,116.3
117,116.8
117,117.4
117,118
119,118.6
120,119.3
121,120
121,120.8
121,121.6
123,122.4
124,123.1
125,123.7
125,124.2
125,124.7
126,125.1
126,125.3
126,125.5
126,125.6
125,125.7
125,125.8
126,125.9
126,126
126,126.3
126,126.5
127,126.8
127,127.1
129,127.3
128,127.6
128,127.7
128,127.7
128,127.5
129,127.2
127,126.6
126,126
125,125.3
124,124.4
123,123.7
122,122.9
121,122.4
119,122
121,121.8
121,121.7
122,121.8
122,121.9
123,122.1
123,122.5
124,122.6
123,122.6
123,122.3
123,121.8
122,121.2
121,120.5
119,119.7
117,118.9
117,118.2
116,117.6
116,117.2
115,117
116,117
117,117.1
118,117.1
119,117.1
119,117
118,116.9
117,116.6
116,116.1
115,115.5
114,114.8
113,114.2
112,113.8
112,113.6
112,113.5
113,113.4
114,113.4
115,113.3
115,113.4
114,113.5
114,113.5
112,113.3
113,113
113,112.7
112,112.4
111,112.2
111,112
112,111.9
112,111.7
112,111.4
112,111.1
111,110.8
111,110.5
110,110.1
109,109.8
108,109.4
108,109
108,108.9
109,108.8
108,108.8
108,108.9
110,109.1
110,109.2
110,109.4
110,109.4
110,109.5
109,109.6
110,109.5
109,109.5
109,109.5
109,109.5
109,109.5
110,109.6
